2026-03-24 18:27:06 | INFO | CI | === RUN START ===
2026-03-24 18:27:06 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-24 18:27:06 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-24 18:27:06 | INFO | CI | python=3.14.3
2026-03-24 18:27:06 | INFO | CI | os=Darwin 23.4.0
2026-03-24 18:27:06 | INFO | CI | shell=zsh
2026-03-24 18:27:06 | INFO | CI | cwd=notebooks
2026-03-24 18:27:06 | INFO | CI | github_actions=False
2026-03-24 18:27:06 | INFO | CI | ROOT_PATH = .
2026-03-24 18:27:06 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-24 18:27:06 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-24 18:27:06 | INFO | CI | Logger configured.
2026-03-24 18:27:06 | INFO | CI | ========================
2026-03-24 18:27:06 | INFO | CI | Notebook executed successfully!
2026-03-24 18:27:06 | INFO | CI | ========================
2026-03-27 15:20:03 | INFO | CI | === RUN START ===
2026-03-27 15:20:03 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 15:20:03 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 15:20:03 | INFO | CI | python=3.14.3
2026-03-27 15:20:03 | INFO | CI | os=Darwin 23.4.0
2026-03-27 15:20:03 | INFO | CI | shell=zsh
2026-03-27 15:20:03 | INFO | CI | cwd=notebooks
2026-03-27 15:20:03 | INFO | CI | github_actions=False
2026-03-27 15:20:03 | INFO | CI | ROOT_PATH = .
2026-03-27 15:20:03 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 15:20:03 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 15:20:03 | INFO | CI | Logger configured.
2026-03-27 15:20:03 | INFO | CI | ========================
2026-03-27 15:20:03 | INFO | CI | Notebook executed successfully!
2026-03-27 15:20:03 | INFO | CI | ========================
2026-03-27 15:21:10 | INFO | CI | === RUN START ===
2026-03-27 15:21:10 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 15:21:10 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 15:21:10 | INFO | CI | python=3.14.3
2026-03-27 15:21:10 | INFO | CI | os=Darwin 23.4.0
2026-03-27 15:21:10 | INFO | CI | shell=zsh
2026-03-27 15:21:10 | INFO | CI | cwd=notebooks
2026-03-27 15:21:10 | INFO | CI | github_actions=False
2026-03-27 15:21:10 | INFO | CI | ROOT_PATH = .
2026-03-27 15:21:10 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 15:21:10 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 15:21:10 | INFO | CI | Logger configured.
2026-03-27 15:21:10 | INFO | CI | ========================
2026-03-27 15:21:10 | INFO | CI | Notebook executed successfully!
2026-03-27 15:21:10 | INFO | CI | ========================
2026-03-27 15:55:07 | INFO | CI | === RUN START ===
2026-03-27 15:55:07 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 15:55:07 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 15:55:07 | INFO | CI | python=3.14.3
2026-03-27 15:55:07 | INFO | CI | os=Darwin 23.4.0
2026-03-27 15:55:07 | INFO | CI | shell=zsh
2026-03-27 15:55:07 | INFO | CI | cwd=notebooks
2026-03-27 15:55:07 | INFO | CI | github_actions=False
2026-03-27 15:55:07 | INFO | CI | ROOT_PATH = .
2026-03-27 15:55:07 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 15:55:07 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 15:55:07 | INFO | CI | Logger configured.
2026-03-27 15:59:43 | INFO | CI | === RUN START ===
2026-03-27 15:59:43 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 15:59:43 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 15:59:43 | INFO | CI | python=3.14.3
2026-03-27 15:59:43 | INFO | CI | os=Darwin 23.4.0
2026-03-27 15:59:43 | INFO | CI | shell=zsh
2026-03-27 15:59:43 | INFO | CI | cwd=notebooks
2026-03-27 15:59:43 | INFO | CI | github_actions=False
2026-03-27 15:59:43 | INFO | CI | ROOT_PATH = .
2026-03-27 15:59:43 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 15:59:43 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 15:59:43 | INFO | CI | Logger configured.
2026-03-27 16:09:37 | INFO | CI | === RUN START ===
2026-03-27 16:09:37 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 16:09:37 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 16:09:37 | INFO | CI | python=3.14.3
2026-03-27 16:09:37 | INFO | CI | os=Darwin 23.4.0
2026-03-27 16:09:37 | INFO | CI | shell=zsh
2026-03-27 16:09:37 | INFO | CI | cwd=notebooks
2026-03-27 16:09:37 | INFO | CI | github_actions=False
2026-03-27 16:09:37 | INFO | CI | ROOT_PATH = .
2026-03-27 16:09:37 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 16:09:37 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 16:09:37 | INFO | CI | Logger configured.
2026-03-27 16:10:09 | INFO | CI | === RUN START ===
2026-03-27 16:10:09 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 16:10:09 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 16:10:09 | INFO | CI | python=3.14.3
2026-03-27 16:10:09 | INFO | CI | os=Darwin 23.4.0
2026-03-27 16:10:09 | INFO | CI | shell=zsh
2026-03-27 16:10:09 | INFO | CI | cwd=notebooks
2026-03-27 16:10:09 | INFO | CI | github_actions=False
2026-03-27 16:10:09 | INFO | CI | ROOT_PATH = .
2026-03-27 16:10:09 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 16:10:09 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 16:10:09 | INFO | CI | Logger configured.
2026-03-27 16:10:09 | INFO | CI | ========================
2026-03-27 16:10:09 | INFO | CI | Notebook executed successfully!
2026-03-27 16:10:09 | INFO | CI | ========================
2026-03-27 16:31:21 | INFO | CI | === RUN START ===
2026-03-27 16:31:21 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 16:31:21 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 16:31:21 | INFO | CI | python=3.14.3
